date,pe
2018-07-10,27.05
2018-07-11,27.2
2018-07-12,27.39
2018-07-13,27.38
2018-07-16,27.17
2018-07-17,27.35
2018-07-18,27.28
2018-07-19,27.22
2018-07-20,27.36
2018-07-23,27.54
2018-07-24,27.66
2018-07-25,27.66
2018-07-26,27.75
2018-07-27,28.02
2018-07-30,28.12
2018-07-31,28.22
2018-08-01,28.14
2018-08-02,27.89
2018-08-03,28.23
2018-08-06,28.26
2018-08-07,28.26
2018-08-08,28.23
2018-08-09,28.11
2018-08-10,27.83
2018-08-13,27.8
2018-08-14,28.02
2018-08-16,27.9
2018-08-17,28.11
2018-08-20,28.25
2018-08-21,28.29
2018-08-23,28.32
2018-08-24,28.06
2018-08-27,28.72
2018-08-28,28.66
2018-08-29,28.55
2018-08-30,28.51
2018-08-31,28.4
2018-09-03,28.16
2018-09-04,28.01
2018-09-05,27.9
2018-09-06,28.05
2018-09-07,28.17
2018-09-10,27.81
2018-09-11,27.44
2018-09-12,27.64
2018-09-14,28.0
2018-09-17,27.66
2018-09-18,27.42
2018-09-19,27.31
2018-09-21,27.09
2018-09-24,26.66
2018-09-25,26.91
2018-09-26,26.87
2018-09-27,26.69
2018-09-28,26.44
2018-10-01,26.62
2018-10-03,26.26
2018-10-04,25.63
2018-10-05,24.95
2018-10-08,25.03
2018-10-09,24.91
2018-10-10,25.3
2018-10-11,24.75
2018-10-12,25.33
2018-10-15,25.42
2018-10-16,25.52
2018-10-17,25.19
2018-10-19,24.83
2018-10-22,24.65
2018-10-23,24.41
2018-10-24,24.6
2018-10-25,24.36
2018-10-26,24.12
2018-10-29,24.65
2018-10-30,24.55
2018-10-31,25.0
2018-11-01,24.98
2018-11-02,25.4
2018-11-05,25.33
2018-11-06,25.32
2018-11-07,25.49
2018-11-09,25.46
2018-11-12,25.21
2018-11-13,25.45
2018-11-14,25.43
2018-11-15,25.53
2018-11-16,25.69
2018-11-19,25.88
2018-11-20,25.62
2018-11-21,25.55
2018-11-22,25.43
2018-11-26,25.71
2018-11-27,25.85
2018-11-28,25.96
2018-11-29,26.27
2018-11-30,26.31
2018-12-03,26.33
2018-12-04,26.3
2018-12-05,26.09
2018-12-06,25.65
2018-12-07,25.87
2018-12-10,25.37
2018-12-11,25.52
2018-12-12,25.98
2018-12-13,26.11
2018-12-14,26.14
2018-12-17,26.34
2018-12-18,26.39
2018-12-19,26.53
2018-12-20,26.5
2018-12-21,26.02
2018-12-24,25.8
2018-12-26,25.96
2018-12-27,26.08
2018-12-28,26.16
2018-12-31,26.17
2019-01-01,26.28
2019-01-02,26.0
2019-01-03,25.71
2019-01-04,25.84
2019-01-07,25.95
2019-01-08,26.02
2019-01-09,26.15
2019-01-10,26.07
2019-01-11,26.0
2019-01-14,25.8
2019-01-15,26.16
2019-01-16,26.17
2019-01-17,26.21
2019-01-18,26.19
2019-01-21,26.29
2019-01-22,26.54
2019-01-23,26.32
2019-01-24,26.31
2019-01-25,26.14
2019-01-28,25.85
2019-01-29,25.84
2019-01-30,25.84
2019-01-31,26.26
2019-02-01,26.4
2019-02-04,27.02
2019-02-05,27.07
2019-02-06,27.39
2019-02-07,27.41
2019-02-08,27.1
2019-02-11,26.96
2019-02-12,26.84
2019-02-13,26.6
2019-02-14,26.58
2019-02-15,26.53
2019-02-18,26.32
2019-02-19,26.23
2019-02-20,26.5
2019-02-21,26.31
2019-02-22,26.32
2019-02-25,26.53
2019-02-26,26.43
2019-02-27,26.36
2019-02-28,26.32
2019-03-01,26.49
2019-03-05,26.93
2019-03-06,27.09
2019-03-07,27.11
2019-03-08,27.05
2019-03-11,27.38
2019-03-12,27.7
2019-03-13,27.8
2019-03-14,27.81
2019-03-15,28.01
2019-03-18,28.1
2019-03-19,28.27
2019-03-20,28.24
2019-03-22,28.08
2019-03-25,27.83
2019-03-26,28.15
2019-03-27,28.05
2019-03-28,28.36
2019-03-29,29.01
2019-04-01,29.13
2019-04-02,29.24
2019-04-03,29.06
2019-04-04,28.95
2019-04-05,29.12
2019-04-08,28.96
2019-04-09,29.13
2019-04-10,28.91
2019-04-11,28.94
2019-04-12,29.06
2019-04-15,29.18
2019-04-16,29.42
2019-04-18,29.33
2019-04-22,28.94
2019-04-23,28.94
2019-04-24,29.27
2019-04-25,29.06
2019-04-26,29.34
2019-04-30,29.33
2019-05-02,29.27
2019-05-03,29.24
2019-05-06,28.95
2019-05-07,28.73
2019-05-08,28.38
2019-05-09,28.24
2019-05-10,28.14
2019-05-13,27.8
2019-05-14,27.98
2019-05-15,27.82
2019-05-16,28.07
2019-05-17,28.44
2019-05-20,29.48
2019-05-21,29.18
2019-05-22,29.22
2019-05-23,29.02
2019-05-24,29.44
2019-05-27,29.68
2019-05-28,29.69
2019-05-29,29.44
2019-05-30,29.65
2019-05-31,29.49
2019-06-03,29.9
2019-06-04,29.73
2019-06-06,29.29
2019-06-07,29.36
2019-06-10,29.49
2019-06-11,29.59
2019-06-12,29.45
2019-06-13,29.46
2019-06-14,29.24
2019-06-17,28.87
2019-06-18,28.91
2019-06-19,28.91
2019-06-20,29.26
2019-06-21,28.99
2019-06-24,28.93
2019-06-25,29.17
2019-06-26,29.09
2019-06-27,29.07
2019-06-28,28.98
2019-07-01,29.17
2019-07-02,29.28
2019-07-03,29.3
2019-07-04,29.37
2019-07-05,29.04
2019-07-08,28.42
2019-07-09,28.41
2019-07-10,28.2
2019-07-11,28.4
2019-07-12,28.33
2019-07-15,28.33
2019-07-16,28.51
2019-07-17,28.58
2019-07-18,28.35
2019-07-19,27.92
2019-07-22,27.81
2019-07-23,27.77
2019-07-24,27.62
2019-07-25,27.57
2019-07-26,27.73
2019-07-29,27.6
2019-07-30,27.34
2019-07-31,27.42
2019-08-01,27.05
2019-08-02,27.09
2019-08-05,26.76
2019-08-06,26.97
2019-08-07,26.74
2019-08-08,27.2
2019-08-09,27.41
2019-08-13,27.03
2019-08-14,27.24
2019-08-16,27.33
2019-08-19,27.35
2019-08-20,27.26
2019-08-21,27.01
2019-08-22,26.57
2019-08-23,26.79
2019-08-26,27.36
2019-08-27,27.47
2019-08-28,27.33
2019-08-29,27.09
2019-08-30,27.27
2019-09-03,26.54
2019-09-04,26.61
2019-09-05,26.67
2019-09-06,26.91
2019-09-09,27.05
2019-09-11,27.13
2019-09-12,27.0
2019-09-13,27.23
2019-09-16,27.06
2019-09-17,26.6
2019-09-18,26.66
2019-09-19,26.32
2019-09-20,27.72
2019-09-23,28.52
2019-09-24,28.49
2019-09-25,25.92
2019-09-26,26.22
2019-09-27,26.52
2019-09-30,26.44
2019-10-01,26.17
2019-10-03,26.07
2019-10-04,25.75
2019-10-07,25.64
2019-10-09,26.13
2019-10-10,25.95
2019-10-11,26.11
2019-10-14,26.2
2019-10-15,26.4
2019-10-16,26.48
2019-10-17,26.76
2019-10-18,26.94
2019-10-22,26.71
2019-10-23,26.75
2019-10-24,26.7
2019-10-25,26.7
2019-10-27,26.8
2019-10-29,27.17
2019-10-30,27.3
2019-10-31,27.38
2019-11-01,27.47
2019-11-04,27.59
2019-11-05,27.59
2019-11-06,27.71
2019-11-07,27.75
2019-11-08,27.51
2019-11-11,27.52
2019-11-13,27.31
2019-11-14,27.38
2019-11-15,27.32
2019-11-18,27.29
2019-11-19,27.31
2019-11-20,27.23
2019-11-21,27.89
2019-11-22,27.77
2019-11-25,28.14
2019-11-26,28.05
2019-11-27,28.2
2019-11-28,28.32
2019-11-29,28.1
2019-12-02,28.08
2019-12-03,27.95
2019-12-04,28.07
2019-12-05,28.01
2019-12-06,27.78
2019-12-09,27.82
2019-12-10,27.63
2019-12-11,27.76
2019-12-12,27.9
2019-12-13,28.17
2019-12-16,28.09
2019-12-17,28.35
2019-12-18,28.48
2019-12-19,28.57
2019-12-20,28.6
2019-12-23,28.58
2019-12-24,28.47
2019-12-26,28.26
2019-12-27,28.48
2019-12-30,28.5
2019-12-31,28.3
2020-01-01,28.33
2020-01-02,28.56
2020-01-03,28.44
2020-01-06,27.89
2020-01-07,28.03
2020-01-08,27.97
2020-01-09,28.41
2020-01-10,28.51
2020-01-13,28.67
2020-01-14,28.67
2020-01-15,28.63
2020-01-16,28.62
2020-01-17,28.61
2020-01-20,28.0
2020-01-21,27.84
2020-01-22,27.73
2020-01-23,27.88
2020-01-24,28.1
2020-01-27,27.73
2020-01-28,26.65
2020-01-29,26.81
2020-01-30,26.57
2020-01-31,26.41
2020-02-01,25.75
2020-02-03,25.9
2020-02-04,26.57
2020-02-05,27.05
2020-02-06,27.16
2020-02-07,27.03
2020-02-10,26.89
2020-02-11,27.21
2020-02-12,27.65
2020-02-13,27.59
2020-02-14,27.45
2020-02-17,27.42
2020-02-18,27.29
2020-02-19,27.6
2020-02-20,27.5
2020-02-24,26.92
2020-02-25,26.85
2020-02-26,26.58
2020-02-27,26.48
2020-02-28,25.49
2020-03-02,25.34
2020-03-03,25.73
2020-03-04,25.61
2020-03-05,25.65
2020-03-06,25.01
2020-03-09,23.79
2020-03-11,23.8
2020-03-12,21.83
2020-03-13,22.66
2020-03-16,20.93
2020-03-17,20.41
2020-03-18,19.27
2020-03-19,18.63
2020-03-20,19.72
2020-03-23,17.15
2020-03-24,17.58
2020-03-25,18.74
2020-03-26,19.47
2020-03-27,19.52
2020-03-30,18.66
2020-03-31,19.38
2020-04-01,18.6
2020-04-03,18.22
2020-04-07,19.81
2020-04-08,19.72
2020-04-09,20.53
2020-04-13,20.27
2020-04-15,20.11
2020-04-16,20.25
2020-04-17,20.85
2020-04-20,20.75
2020-04-21,20.1
2020-04-22,20.56
2020-04-23,20.84
2020-04-24,20.48
2020-04-27,20.77
2020-04-28,21.0
2020-04-29,21.65
2020-04-30,22.35
2020-05-04,21.39
2020-05-05,21.19
2020-05-06,21.34
2020-05-07,21.18
2020-05-08,21.28
2020-05-11,21.21
2020-05-12,21.11
2020-05-13,21.51
2020-05-14,21.0
2020-05-15,20.98
2020-05-18,20.26
2020-05-19,20.39
2020-05-20,21.16
2020-05-21,21.14
2020-05-22,20.97
2020-05-26,21.1
2020-05-27,21.77
2020-05-28,22.17
2020-05-29,22.38
2020-06-01,22.96
2020-06-02,23.31
2020-06-03,23.5
2020-06-04,23.42
2020-06-05,23.91
2020-06-08,23.97
2020-06-09,24.25
2020-06-10,24.41
2020-06-11,23.9
2020-06-12,24.08
2020-06-15,23.69
2020-06-16,24.31
2020-06-17,24.59
2020-06-18,25.11
2020-06-19,25.49
2020-06-22,25.66
2020-06-23,26.05
2020-06-24,25.63
2020-06-25,25.59
2020-06-26,26.67
2020-06-29,26.49
2020-06-30,26.32
2020-07-01,26.97
2020-07-02,27.63
2020-07-03,27.78
2020-07-06,28.13
2020-07-07,28.22
2020-07-08,27.98
2020-07-09,28.26
2020-07-10,28.27
2020-07-13,28.36
2020-07-14,27.85
2020-07-15,27.88
2020-07-16,28.19
2020-07-17,28.55
2020-07-20,28.86
2020-07-21,29.01
2020-07-22,28.93
2020-07-23,29.2
2020-07-24,29.35
2020-07-27,29.18
2020-07-28,29.87
2020-07-29,29.59
2020-07-30,29.46
2020-07-31,30.2
2020-08-03,29.7
2020-08-04,30.39
2020-08-05,30.41
2020-08-06,30.68
2020-08-07,30.72
2020-08-10,31.23
2020-08-11,31.37
2020-08-12,31.33
2020-08-13,31.42
2020-08-14,31.09
2020-08-17,31.64
2020-08-18,32.03
2020-08-19,32.09
2020-08-20,31.91
2020-08-21,32.08
2020-08-24,32.41
2020-08-25,32.43
2020-08-26,32.64
2020-08-27,32.67
2020-08-28,32.92
2020-08-31,32.29
2020-09-01,32.53
2020-09-02,32.71
2020-09-03,33.04
2020-09-04,32.49
2020-09-07,32.55
2020-09-08,32.44
2020-09-09,32.33
2020-09-10,32.82
2020-09-11,32.86
2020-09-14,32.79
2020-09-15,33.03
2020-09-16,33.26
2020-09-17,33.01
2020-09-18,32.98
2020-09-21,32.25
2020-09-22,31.97
2020-09-23,31.91
2020-09-24,30.97
2020-09-25,32.12
2020-09-28,32.63
2020-09-29,32.62
2020-09-30,32.69
2020-10-01,33.18
2020-10-05,33.43
2020-10-06,33.9
2020-10-07,34.12
2020-10-08,34.4
2020-10-09,34.71
2020-10-12,34.76
2020-10-13,34.77
2020-10-14,34.87
2020-10-15,34.03
2020-10-16,34.13
2020-10-19,34.43
2020-10-20,34.28
2020-10-21,34.4
2020-10-22,34.27
2020-10-23,34.37
2020-10-26,33.95
2020-10-27,34.49
2020-10-28,33.94
2020-10-29,31.56
2020-10-30,31.9
2020-11-02,31.43
2020-11-03,31.82
2020-11-04,32.27
2020-11-05,32.84
2020-11-06,33.09
2020-11-09,33.62
2020-11-10,34.18
2020-11-11,34.5
2020-11-12,34.48
2020-11-13,34.57
2020-11-14,34.73
2020-11-17,34.93
2020-11-18,35.59
2020-11-19,35.12
2020-11-20,35.36
2020-11-23,35.55
2020-11-24,35.9
2020-11-25,35.36
2020-11-26,35.71
2020-11-27,35.66
2020-12-01,36.05
2020-12-02,36.06
2020-12-03,36.12
2020-12-04,36.46
2020-12-07,36.73
2020-12-08,36.83
2020-12-09,37.2
2020-12-10,37.06
2020-12-11,37.16
2020-12-14,37.28
2020-12-15,37.31
2020-12-16,37.63
2020-12-17,37.79
2020-12-18,37.84
2020-12-21,36.65
2020-12-22,37.03
2020-12-23,37.4
2020-12-24,37.81
2020-12-28,38.15
2020-12-29,38.31
2020-12-30,38.45
2020-12-31,38.45
2021-01-01,38.55
2021-01-04,38.87
2021-01-05,39.05
2021-01-06,38.9
2021-01-07,38.88
2021-01-08,39.45
2021-01-11,39.72
2021-01-12,39.94
2021-01-13,39.94
2021-01-14,40.03
2021-01-15,39.34
2021-01-18,38.92
2021-01-19,39.22
2021-01-20,39.55
2021-01-21,39.41
2021-01-22,38.86
2021-01-25,38.42
2021-01-27,37.52
2021-01-28,36.96
2021-01-29,36.57
2021-02-01,38.26
2021-02-02,38.79
2021-02-03,39.16
2021-02-04,40.81
2021-02-05,41.46
2021-02-08,42.0
2021-02-09,41.97
2021-02-10,41.81
2021-02-11,41.65
2021-02-12,41.58
2021-02-15,41.59
2021-02-16,41.78
2021-02-17,41.49
2021-02-18,41.26
2021-02-19,40.88
2021-02-22,40.05
2021-02-23,40.14
2021-02-24,40.88
2021-02-25,41.2
2021-02-26,39.65
2021-03-01,40.28
2021-03-02,40.71
2021-03-03,41.6
2021-03-04,41.15
2021-03-05,40.76
2021-03-08,40.74
2021-03-09,41.12
2021-03-10,41.33
2021-03-12,40.94
2021-03-15,40.66
2021-03-16,40.61
2021-03-17,40.1
2021-03-18,39.65
2021-03-19,40.16
2021-03-22,40.14
2021-03-23,40.35
2021-03-24,39.63
2021-03-25,39.02
2021-03-26,39.51
2021-03-30,40.43
2021-03-31,33.2
2021-04-01,33.6
2021-04-05,33.08
2021-04-06,33.18
2021-04-07,33.49
2021-04-08,33.61
2021-04-09,33.53
2021-04-12,32.34
2021-04-13,32.72
2021-04-15,32.78
2021-04-16,32.84
2021-04-19,32.12
2021-04-20,31.97
2021-04-22,32.22
2021-04-23,32.07
2021-04-26,32.39
2021-04-27,32.28
2021-04-28,32.72
2021-04-29,32.79
2021-04-30,32.21
2021-05-03,31.54
2021-05-04,30.47
2021-05-05,30.65
2021-05-06,30.82
2021-05-07,30.23
2021-05-10,30.43
2021-05-11,30.14
2021-05-12,29.83
2021-05-14,29.79
2021-05-17,30.2
2021-05-18,30.53
2021-05-19,29.98
2021-05-20,29.59
2021-05-21,29.48
2021-05-24,29.52
2021-05-25,29.25
2021-05-26,29.41
2021-05-27,29.48
2021-05-28,28.98
2021-05-31,29.22
2021-06-01,28.87
2021-06-02,28.88
2021-06-03,29.1
2021-06-04,29.06
2021-06-07,29.21
2021-06-08,29.19
2021-06-09,28.99
2021-06-10,29.18
2021-06-11,29.3
2021-06-14,29.32
2021-06-15,29.43
2021-06-16,29.24
2021-06-17,29.1
2021-06-18,29.08
2021-06-21,29.19
2021-06-22,29.05
2021-06-23,28.89
2021-06-24,29.08
2021-06-25,29.21
2021-06-28,29.12
2021-06-29,29.0
2021-06-30,28.33
2021-07-01,28.26
2021-07-02,28.33
2021-07-05,28.53
2021-07-06,28.5
2021-07-07,28.62
2021-07-08,28.34
2021-07-09,28.27
2021-07-12,28.21
2021-07-13,28.43
2021-07-14,28.5
2021-07-15,28.63
2021-07-16,28.53
2021-07-19,28.23
2021-07-20,27.89
2021-07-22,28.22
2021-07-23,28.28
2021-07-26,28.13
2021-07-27,27.45
2021-07-28,26.98
2021-07-29,27.08
2021-07-30,27.01
2021-08-02,27.21
2021-08-03,27.31
2021-08-04,27.39
2021-08-05,26.72
2021-08-06,26.51
2021-08-09,26.53
2021-08-10,26.35
2021-08-11,26.34
2021-08-12,26.25
2021-08-13,26.51
2021-08-16,25.62
2021-08-17,25.46
2021-08-18,25.39
2021-08-20,25.21
2021-08-23,25.28
2021-08-24,25.47
2021-08-25,25.49
2021-08-26,25.49
2021-08-27,25.6
2021-08-30,25.94
2021-08-31,26.25
2021-09-01,26.17
2021-09-02,26.41
2021-09-03,26.54
2021-09-06,26.63
2021-09-07,26.6
2021-09-08,26.59
2021-09-09,26.61
2021-09-13,26.59
2021-09-14,26.63
2021-09-15,26.84
2021-09-16,26.99
2021-09-17,26.93
2021-09-20,26.64
2021-09-21,26.89
2021-09-22,26.87
2021-09-23,27.29
2021-09-24,27.34
2021-09-27,27.33
2021-09-28,27.16
2021-09-29,27.11
2021-09-30,26.98
2021-10-01,26.84
2021-10-04,27.09
2021-10-05,27.29
2021-10-06,27.02
2021-10-07,27.24
2021-10-08,27.4
2021-10-11,27.48
2021-10-12,27.49
2021-10-13,27.75
2021-10-14,28.02
2021-10-18,28.17
2021-10-19,27.97
2021-10-20,27.72
2021-10-21,27.58
2021-10-22,27.48
2021-10-25,27.29
2021-10-26,27.16
2021-10-27,27.06
2021-10-28,26.39
2021-10-29,25.71
2021-11-01,26.07
2021-11-02,25.95
2021-11-03,25.98
2021-11-04,26.11
2021-11-08,26.25
2021-11-09,26.06
2021-11-10,26.03
2021-11-11,25.65
2021-11-12,25.98
2021-11-15,26.0
2021-11-16,24.83
2021-11-17,24.69
2021-11-18,24.51
2021-11-22,24.03
2021-11-23,24.15
2021-11-24,24.03
2021-11-25,24.19
2021-11-26,23.49
2021-11-29,23.53
2021-11-30,23.43
2021-12-01,23.68
2021-12-02,24.01
2021-12-03,23.73
2021-12-06,23.33
2021-12-07,23.69
2021-12-08,24.1
2021-12-09,24.16
2021-12-10,24.15
2021-12-13,23.96
2021-12-14,23.9
2021-12-15,23.75
2021-12-16,23.79
2021-12-17,23.43
2021-12-20,22.92
2021-12-21,23.13
2021-12-22,23.39
2021-12-23,23.55
2021-12-24,23.45
2021-12-27,23.57
2021-12-28,23.77
2021-12-29,23.74
2021-12-30,23.73
2021-12-31,24.11
2022-01-03,24.49
2022-01-04,24.74
2022-01-05,24.91
2022-01-06,24.66
2022-01-07,24.75
2022-01-10,25.01
2022-01-11,25.09
2022-01-12,25.3
2022-01-13,25.37
2022-01-14,25.3
2022-01-17,25.37
2022-01-18,25.0
2022-01-19,24.76
2022-01-20,24.47
2022-01-21,24.29
2022-01-24,23.63
2022-01-25,23.47
2022-01-27,23.09
2022-01-28,23.1
2022-01-31,23.42
2022-02-01,23.62
2022-02-02,23.95
2022-02-03,23.65
2022-02-04,23.56
2022-02-07,23.11
2022-02-08,22.83
2022-02-09,23.09
2022-02-10,22.98
2022-02-11,22.68
2022-02-14,21.85
2022-02-15,22.36
2022-02-16,22.27
