date,yield
2026-04-16,6.892
2026-04-17,6.905
2026-04-20,6.89
2026-04-21,6.891
2026-04-22,6.923
2026-04-23,6.951
2026-04-24,6.933
2026-04-27,6.943
2026-04-28,6.98
2026-04-29,6.995
2026-04-30,7.058
2026-05-01,7.058
2026-05-02,7.058
2026-05-03,7.058
2026-05-04,7.024
2026-05-08,6.964
2026-05-09,6.961
2026-05-10,6.961
2026-05-11,7.037
2026-05-12,7.048
2026-05-13,7.051
2026-05-14,7.021
2026-05-15,7.06
2026-05-18,7.142
2026-05-19,7.112
2026-05-20,7.122
2026-05-21,7.109
2026-05-22,7.07
2026-05-25,7.027
2026-05-26,7.004
2026-05-27,6.995
2026-05-28,6.995
2026-05-29,6.996
2026-06-01,7.02
2026-06-02,7.017
2026-06-03,7.021
2026-06-04,6.995
2026-06-05,6.95
2026-06-08,6.957
2026-06-09,6.928
2026-06-10,6.919
2026-06-11,6.92
2026-06-12,6.886
2026-06-15,6.879
2026-06-16,6.876
2026-06-17,6.863
2026-06-18,6.84
2026-06-19,6.85
2026-06-22,6.847
2026-06-23,6.838
2026-06-24,6.818
2026-06-25,6.764
2026-06-26,6.778
2026-06-29,6.753
2026-06-30,6.725
2026-07-01,6.739
2026-07-02,6.722
2026-07-03,6.721
2026-07-06,6.685
2026-07-07,6.684
2026-07-08,6.728
2026-07-09,6.761
2026-07-10,6.737
2026-07-13,6.739
2026-07-14,6.788
2026-07-15,6.771
2026-07-16,6.745
2026-07-17,6.752
2026-07-20,6.819
2026-07-21,6.764
2026-07-22,6.808
2026-07-23,6.814
2026-07-24,6.853
2026-07-27,6.771
2026-07-28,6.766
2026-07-29,6.791
2026-07-30,6.819
2026-07-31,6.806
2026-08-03,6.839
2026-08-04,6.836
2026-08-05,6.775
2026-08-06,6.762
2026-08-07,6.784
