,close
2019-10-14,138.061767578125
2019-10-15,135.29197692871094
2019-10-16,132.9206085205078
2019-10-17,137.4072265625
2019-10-18,147.81285095214844
2019-10-22,160.2483673095703
2019-10-23,170.79629516601562
2019-10-24,171.1282958984375
2019-10-25,170.55914306640625
2019-10-27,172.2001190185547
2019-10-29,167.53326416015625
2019-10-30,168.92762756347656
2019-10-31,167.2676544189453
2019-11-01,168.9371337890625
2019-11-04,167.59967041015625
2019-11-05,167.229736328125
2019-11-06,167.76089477539062
2019-11-07,167.229736328125
2019-11-08,166.3570556640625
2019-11-11,176.9808349609375
2019-11-13,176.81961059570312
2019-11-14,172.12425231933594
2019-11-15,176.08920288085938
2019-11-18,174.94146728515625
2019-11-19,171.2230987548828
2019-11-20,169.9236297607422
2019-11-21,167.8557586669922
2019-11-22,166.16732788085938
2019-11-25,167.35302734375
2019-11-26,166.6985321044922
2019-11-27,167.56170654296875
2019-11-28,167.40994262695312
2019-11-29,170.2176513671875
2019-12-02,167.14434814453125
2019-12-03,165.9966278076172
2019-12-04,165.8258819580078
2019-12-05,166.17681884765625
2019-12-06,165.49388122558594
2019-12-09,164.55477905273438
2019-12-10,163.32168579101562
2019-12-11,164.03311157226562
2019-12-12,165.02908325195312
2019-12-13,168.9371337890625
2019-12-16,168.21621704101562
2019-12-17,168.22572326660156
2019-12-18,166.0630340576172
2019-12-19,164.99111938476562
2019-12-20,164.450439453125
2019-12-23,164.0520782470703
2019-12-24,168.37747192382812
2019-12-26,166.3570556640625
2019-12-27,167.05899047851562
2019-12-30,175.7002716064453
2019-12-31,177.08518981933594
2020-01-01,179.15301513671875
2020-01-02,176.50656127929688
2020-01-03,176.69627380371094
2020-01-06,169.68646240234375
2020-01-07,172.1432342529297
2020-01-08,170.00897216796875
2020-01-09,173.32891845703125
2020-01-10,174.01187133789062
2020-01-13,178.16653442382812
2020-01-14,184.806396484375
2020-01-15,186.9406280517578
2020-01-16,190.4028167724609
2020-01-17,193.8555908203125
2020-01-20,188.44883728027344
2020-01-21,186.4379119873047
2020-01-22,189.11282348632807
2020-01-23,188.8567047119141
2020-01-24,190.2226409912109
2020-01-27,191.1522216796875
2020-01-28,198.9492950439453
2020-01-29,211.792709350586
2020-01-30,215.72918701171875
2020-01-31,229.6064910888672
2020-02-03,237.29928588867188
