,close
2005-04-20,4.359346866607666
2005-04-21,4.303951740264893
2005-04-22,4.373796463012695
2005-04-25,4.431600570678711
2005-04-26,4.409924983978272
2005-04-27,4.347304821014404
2005-04-28,4.402698993682861
2005-04-29,4.263007640838623
2005-05-02,4.263007640838623
2005-05-03,4.455685615539551
2005-05-04,4.869943618774414
2005-05-05,4.660406112670898
2005-05-06,4.662814617156982
2005-05-09,4.788055896759033
2005-05-10,4.792871475219727
2005-05-11,5.014451503753662
2005-05-12,5.28179407119751
2005-05-13,5.09152364730835
2005-05-16,5.24566650390625
2005-05-17,5.361274242401123
2005-05-18,5.508191108703613
2005-05-19,5.40462589263916
2005-05-20,5.546727657318115
2005-05-23,5.6021223068237305
2005-05-24,5.455204010009766
2005-05-25,5.460020542144775
2005-05-26,5.568404197692871
2005-05-27,5.544318199157715
2005-05-30,5.358864784240723
2005-05-31,5.773123741149902
2005-06-01,5.753857135772705
2005-06-02,5.60934591293335
2005-06-03,5.734588146209717
2005-06-06,5.710503101348877
2005-06-07,5.6840105056762695
2005-06-08,5.539501190185547
2005-06-09,5.488922595977783
2005-06-10,5.638249397277832
2005-06-13,5.751448154449463
2005-06-14,5.999519348144531
2005-06-15,6.156070709228516
2005-06-16,5.965799808502197
2005-06-17,5.903181552886963
2005-06-20,5.782756805419922
2005-06-21,5.855012893676758
2005-06-22,5.8357439041137695
2005-06-23,5.775530815124512
2005-06-24,5.799615859985352
2005-06-27,5.814066410064697
2005-06-28,5.676784992218018
2005-06-29,5.86946439743042
2005-06-30,7.139654636383057
2005-07-01,7.051033973693848
2005-07-04,7.104206562042236
2005-07-05,6.9653730392456055
2005-07-06,7.098300457000732
2005-07-07,6.959465026855469
2005-07-08,6.989005088806152
2005-07-11,7.228272914886475
2005-07-12,7.322795867919922
2005-07-13,7.175100326538086
2005-07-14,7.207592010498047
2005-07-15,7.175100326538086
2005-07-18,7.172146797180176
2005-07-19,7.21054744720459
2005-07-20,6.720194816589356
2005-07-21,6.604993343353272
2005-07-22,6.551820278167725
2005-07-25,6.433663845062256
2005-07-26,6.2032575607299805
2005-07-27,6.392307758331299
2005-07-28,6.392307758331299
2005-07-29,6.250519275665283
2005-08-01,6.256428241729736
2005-08-02,6.37753963470459
2005-08-03,6.135315895080566
2005-08-04,6.164856433868408
2005-08-05,6.179625034332275
2005-08-08,6.241658687591553
2005-08-09,6.247567653656006
2005-08-10,6.2977824211120605
2005-08-11,6.442527294158936
2005-08-12,6.4602484703063965
2005-08-16,6.480926990509033
2005-08-17,6.407078266143799
2005-08-18,6.436616897583008
2005-08-19,6.492741584777832
2005-08-22,6.649302005767822
2005-08-23,6.510465621948242
2005-08-24,6.389353275299072
2005-08-25,6.475017547607422
2005-08-26,6.814719676971436
2005-08-29,7.051033973693848
2005-08-30,7.042172431945801
2005-08-31,6.950605869293213
2005-09-01,6.929924488067627
2005-09-02,6.814719676971436
2005-09-05,7.012632846832275
2005-09-06,6.847214698791504
2005-09-08,6.947649002075195
2005-09-09,7.151469230651856
2005-09-12,7.10715913772583
2005-09-13,7.039218902587891
2005-09-14,6.906294822692871
2005-09-15,6.997863292694092
2005-09-16,6.997863292694092
2005-09-19,7.092389106750488
2005-09-20,7.095347881317139
2005-09-21,7.145561695098877
2005-09-22,7.095347881317139
2005-09-23,7.139654636383057
2005-09-26,7.169189929962158
2005-09-27,7.145561695098877
2005-09-28,7.136699199676514
2005-09-29,7.095347881317139
2005-09-30,7.00377082824707
2005-10-03,6.991956233978272
2005-10-04,7.018540859222412
2005-10-05,6.944695949554443
2005-10-06,6.909245491027832
2005-10-07,6.88266134262085
2005-10-10,6.699517250061035
2005-10-11,6.4897871017456055
2005-10-13,6.625668048858643
2005-10-14,6.475017547607422
2005-10-17,6.510465621948242
2005-10-18,6.640439033508301
2005-10-19,6.717239856719971
2005-10-20,6.770412921905518
2005-10-21,6.7940449714660645
2005-10-24,6.811766624450684
2005-10-25,6.690656661987305
2005-10-26,6.6463470458984375
2005-10-27,6.590221881866455
2005-10-28,6.37753963470459
2005-10-31,7.437603950500488
2005-11-02,7.471909523010254
2005-11-04,7.471909523010254
2005-11-07,7.561105728149414
2005-11-08,7.650303840637207
2005-11-09,7.547384262084961
2005-11-10,7.458187103271484
2005-11-11,7.502786159515381
2005-11-14,7.59541130065918
2005-11-16,7.492493152618408
2005-11-17,7.5713982582092285
2005-11-18,7.475338459014893
2005-11-21,7.540522575378418
2005-11-22,7.519941806793213
2005-11-23,7.48906135559082
